Aréna Bruno-Verret - Olympique, Quebec, Canada
Aréna Bruno-Verret - Standard, Quebec, Canada
Aréna Roch-Lasalle, Quebec, Canada
Aréna de St-Romuald, Quebec, Canada
Beaconsfield Arena, Quebec, Canada
Aréna Boisbriand CESR Desjardins, Quebec, Canada
COMPLEXE JC PERREAULT 2 Arena, Quebec, Canada
Colisée Jean-Béliveau (Longueuil) Arena, Quebec, Canada
Forum La Plaine 2 Arena, Quebec, Canada
Kirkland Arena, Quebec, Canada
Aréna Complexe Sportif Guimond-3 Laval, Quebec, Canada
Aréna Martin St-Louis Laval, Quebec, Canada
Aréna Cynthia-Coull Longueuil, Quebec, Canada
Aréna Olympia de Longueuil Longueuil, Quebec, Canada
Aréna Émile-Butch-Bouchard Longueuil, Quebec, Canada
Lévis, Aréna BSR, Quebec, Canada
Aréna St-Janvier (Val d'Espoir) Mirabel, Quebec, Canada
Montréal, Aréna Dorval, Quebec, Canada
Aréna Mont-Royal Montréal, Quebec, Canada
Municipal 2 Boisbriand Arena, Quebec, Canada
P. Provencher Arena, Quebec, Canada
PLACE BELL-GL.COMM Arena, Quebec, Canada
ROSEMÈRE 2 Arena, Quebec, Canada
St-Canut (Mirabel) Arena, Quebec, Canada
Aréna Saint-Antoine St-Jérôme, Quebec, Canada
VAL D'ESPOIR 2 MIRABEL Arena, Quebec, Canada